name	domain	category	rounds	com_status	price	renewal	premium	fed_active	fed_dissolved	fed_total	fed_sample	verdict
Calexa	calexa.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Calgrid	calgrid.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calidex	calidex.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Calidor	calidor.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Calinova	calinova.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calivity	calivity.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Callight	callight.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Callum	callum.com	tech_mid	v3	TAKEN				1	0	1	LAST CALLUM CORP. (Active)	TAKEN
Calmaron	calmaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calmex	calmex.com	short_invented	v5,v6	TAKEN				0	1	1	Calmex Framing Limited (Dissolved by the cor)	TAKEN
Calodex	calodex.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calometric	calometric.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calonex	calonex.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calorant	calorant.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caloria	caloria.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calostra	calostra.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calovaris	calovaris.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calovera	calovera.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calpath	calpath.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calpeak	calpeak.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calplex	calplex.com	compound_modern	v1	TAKEN				0	0	0		TAKEN
Calprime	calprime.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calraxis	calraxis.com	tech_latin_abstract	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calridge	calridge.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calriver	calriver.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calsummit	calsummit.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Caltheon	caltheon.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Caltheria	caltheria.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Caltor	caltor.com	tech_general	v5	TAKEN				0	2	2	CALTOR PETROLEUMS LTD. (Dissolved for non-co)	TAKEN
Caltris	caltris.com	pro_invented_short	v1	TAKEN				0	0	0		TAKEN
Calvant	calvant.com	compound_modern	v1	TAKEN				0	0	0		TAKEN
Calvedos	calvedos.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calvendris	calvendris.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calver	calver.com	enterprise_invented	v2	TAKEN				0	1	1	CALVER BIOLOGICS CONSULTING INC. (Dissolved by the cor)	TAKEN
Calveria	calveria.com	pro_invented_long	v1	TAKEN				0	0	0		TAKEN
Calverian	calverian.com	pro_invented_long	v1	TAKEN				0	0	0		TAKEN
Calveriant	calveriant.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calveric	calveric.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Calveris	calveris.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Calveritas	calveritas.com	tech_latin_abstract	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Calverith	calverith.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Calveth	calveth.com	pro_invented_short	v1	TAKEN				0	0	0		TAKEN
Calvex	calvex.com	compound_modern	v1	TAKEN				0	1	1	Calvex Capital Corporation (Dissolved by the cor)	TAKEN
Calvik	calvik.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Calvora	calvora.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Calvox	calvox.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Calwave	calwave.com	tech_general	v4	TAKEN				0	1	1	CALWAVE INC. (Inactive - Amalgamat)	TAKEN
Calwex	calwex.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Calwright	calwright.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Caradel	caradel.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Carendrik	carendrik.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Cedarforge	cedarforge.com	two_word	v6	TAKEN				0	0	0		TAKEN
Cedarline	cedarline.com	two_word_pro	v1	TAKEN				2	0	2	Cedarline Ventures Ltd. (Active)	TAKEN
Cedarpath	cedarpath.com	two_word_pro	v1	TAKEN				0	0	0		TAKEN
Cendor	cendor.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Cendora	cendora.com	modern_startup	v6	TAKEN				0	0	0		TAKEN
Cendore	cendore.com	tech_mid	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Cendoria	cendoria.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Centurioncore	centurioncore.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Centurionforge	centurionforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Centurionworks	centurionworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
ClarksonForge	clarksonforge.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
ClarksonLabs	clarksonlabs.com	geographic	v1	TAKEN				0	0	0		TAKEN
Cleargate	cleargate.com	two_word_pro	v1	TAKEN				0	0	0		TAKEN
Cleargrove	cleargrove.com	two_word	v6	TAKEN				0	0	0		TAKEN
Cleartide	cleartide.com	two_word	v6	TAKEN				0	0	0		TAKEN
Clearwright	clearwright.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Cobalta	cobalta.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Cogitan	cogitan.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Cogitos	cogitos.com	tech_latin_abstract	v3	TAKEN				0	0	0		TAKEN
CooksvilleLabs	cooksvillelabs.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CooksvilleWorks	cooksvilleworks.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Coppergrove	coppergrove.com	two_word	v6	TAKEN				0	0	0		TAKEN
Coraxis	coraxis.com	tech_latin_abstract	v3	TAKEN				0	0	0		TAKEN
Cordial	cordial.com	enterprise_invented	v2	TAKEN				1	0	1	Cordial-IT INC. (Active)	TAKEN
CreditRiverDigital	creditriverdigital.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditRiverLabs	creditriverlabs.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditRiverWorks	creditriverworks.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditValley34	creditvalley34.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditValleyDigital	creditvalleydigital.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditValleyGroup	creditvalleygroup.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditValleyLabs	creditvalleylabs.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
CreditValleyWorks	creditvalleyworks.com	geographic	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Crelvant	crelvant.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Crelvanth	crelvanth.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Crelvarith	crelvarith.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Crento	crento.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Crovedell	crovedell.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Daravost	daravost.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Datrix	datrix.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Domvora	domvora.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Dornalba	dornalba.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Dornavik	dornavik.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Dornova	dornova.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Drelmara	drelmara.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Dremara	dremara.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Dremto	dremto.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Drevandel	drevandel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Drevarist	drevarist.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Drevelta	drevelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Drovendel	drovendel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Eastpath	eastpath.com	two_word	v6	TAKEN				0	0	0		TAKEN
Edwarra	edwarra.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Elmpath	elmpath.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Endorath	endorath.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Endorica	endorica.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Endrelith	endrelith.com	pro_invented_long	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Endurion	endurion.com	latin_long	v6	TAKEN				0	0	0		TAKEN
Endwell	endwell.com	pro_invented_short	v1	TAKEN				0	0	0		TAKEN
Erelta	erelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Eronvel	eronvel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Eronvell	eronvell.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Ervaron	ervaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Felvaron	felvaron.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Felvelta	felvelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Fendaris	fendaris.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Fendro	fendro.com	short_invented	v6	TAKEN				0	0	0		TAKEN
Ferenova	ferenova.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Fernivex	fernivex.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Fernoria	fernoria.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Ferto	ferto.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Florant	florant.com	tech_general	v4	TAKEN				0	1	1	SYLVAIN FLORANT INSTALLATIONS INC. (Dissolved for non-co)	TAKEN
Forenvar	forenvar.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Frenta	frenta.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Frovendel	frovendel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Garondra	garondra.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Gavandrik	gavandrik.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Gelvelta	gelvelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Gerto	gerto.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Glasten	glasten.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Glex	glex.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Glexa	glexa.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Glexandra	glexandra.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Glexar	glexar.com	tech_general	v4	TAKEN				0	0	0		TAKEN
Gorvanth	gorvanth.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Granitebay	granitebay.com	two_word	v6	TAKEN				0	0	0		TAKEN
Granitewright	granitewright.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Gravaron	gravaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Grendalor	grendalor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Grovendel	grovendel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
