category	name	domain	whois_com	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
tech_general	Maratide	maratide.com	TAKEN	0	0	0		
tech_general	Maratier	maratier.com	TAKEN	0	0	0		
tech_modern	Marbase	marbase.com	TAKEN	0	0	0		
tech_general	Marcore	marcore.com	TAKEN	0	0	0		
tech_modern	Mardanti	mardanti.com	TAKEN	0	0	0		
tech_general	Mardek	mardek.com	TAKEN	0	0	0		
tech_general	Mardova	mardova.com	TAKEN	0	0	0		
tech_general	Maredor	maredor.com	TAKEN	0	0	0		
tech_general	Marendra	marendra.com	TAKEN	0	0	0		
tech_general	Mareska	mareska.com	TAKEN	0	0	0		
tech_general	Maresta	maresta.com	TAKEN	0	0	0		
tech_general	Margrid	margrid.com	TAKEN	0	0	0		
pro_invented_long	Marideth	marideth.com	AVAILABLE	0	0	0		
tech_mid	Marila	marila.com	TAKEN	0	2	2	MARILA METAL (FNF) INC. (Dissolved by the cor)	
tech_general	Marinova	marinova.com	TAKEN	0	0	0		
tech_general	Marioca	marioca.com	TAKEN	0	0	0		
tech_general	Mariros	mariros.com	TAKEN	0	0	0		
tech_general	Maris	maris.com	TAKEN	5	5	10	BODNAR & MARIS INC. (Dissolved for non-co)	
tech_general	Maritheon	maritheon.com	TAKEN	0	0	0		
tech_mid	Marivell	marivell.com	TAKEN	0	0	0		
tech_general	Marivos	marivos.com	TAKEN	0	0	0		
tech_general	Marlight	marlight.com	TAKEN	0	0	0		
tech_general	Marmex	marmex.com	TAKEN	0	0	0		
tech_general	Marodex	marodex.com	TAKEN	0	0	0		
tech_general	Maronex	maronex.com	TAKEN	0	1	1	MARONEX IMPEX INC. (Dissolved for non-co)	
tech_general	Maroria	maroria.com	TAKEN	0	0	0		
tech_general	Marpath	marpath.com	TAKEN	0	0	0		
tech_general	Marpeak	marpeak.com	TAKEN	0	0	0		
compound_modern	Marplex	marplex.com	TAKEN	0	0	0		
tech_general	Marprime	marprime.com	TAKEN	0	0	0		
pro_invented_short	Marquit	marquit.com	TAKEN	0	0	0		
tech_latin_abstract	Marraxis	marraxis.com	AVAILABLE	0	0	0		
tech_general	Marridge	marridge.com	TAKEN	0	0	0		
tech_general	Marriver	marriver.com	TAKEN	0	0	0		
greek_roman_chad	Marsforge	marsforge.com	TAKEN	0	0	0		
greek_roman_chad	Marsridge	marsridge.com	TAKEN	0	0	0		
tech_general	Marsummit	marsummit.com	TAKEN	0	0	0		
greek_roman_chad	Marsworks	marsworks.com	TAKEN	0	0	0		
tech_general	Martor	martor.com	TAKEN	0	0	0		
enterprise_invented	Marvanta	marvanta.com	TAKEN	0	0	0		
pro_invented_short	Marvell	marvell.com	TAKEN	0	0	0		
enterprise_invented	Marvenza	marvenza.com	TAKEN	0	0	0		
enterprise_invented	Marveric	marveric.com	TAKEN	0	0	0		
enterprise_invented	Marveris	marveris.com	TAKEN	0	0	0		
tech_latin_abstract	Marveritas	marveritas.com	AVAILABLE	0	0	0		
compound_modern	Marvex	marvex.com	TAKEN	0	0	0		
tech_general	Marvik	marvik.com	TAKEN	0	0	0		
tech_general	Marvor	marvor.com	TAKEN	0	0	0		
tech_short	Marvora	marvora.com	TAKEN	0	0	0		
tech_general	Marwave	marwave.com	TAKEN	0	0	0		
greek_roman_chad	Maximusforge	maximusforge.com	TAKEN	0	0	0		
greek_roman_chad	Maximusworks	maximusworks.com	TAKEN	0	0	0		
personal_brand	MaxwellForge	maxwellforge.com	TAKEN	0	0	0		
personal_brand	MaxwellGroup	maxwellgroup.com	TAKEN	0	0	0		
personal_brand	MaxwellLabs	maxwelllabs.com	TAKEN	0	0	0		
personal_brand	MaxwellWorks	maxwellworks.com	TAKEN	0	0	0		
moggy_sigma	Maxxedge	maxxedge.com	TAKEN	0	0	0		
moggy_sigma	Maxxvault	maxxvault.com	TAKEN	0	1	1	MAXXVAULT CANADA INC. (Dissolved by the cor)	
personal_brand	McInnisCo	mcinnisco.com	TAKEN	0	0	0		
personal_brand	McInnisDigital	mcinnisdigital.com	TAKEN	0	0	0		
personal_brand	McInnisGroup	mcinnisgroup.com	TAKEN	0	0	0		
personal_brand	McInnisHoldings	mcinnisholdings.com	TAKEN	0	0	0		
personal_brand	McInnisStudio	mcinnisstudio.com	TAKEN	0	0	0		
